modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.0625,43,texto_reservado,agregado,0.9122807017543859,0.0,0.08771929824561403,0.0,7.0,nan,1368,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.586343973563667,8.0,1.6814800720522043
azar,0.0625,43,imagen_test,directo,0.10546875,0.89453125,0.0,nan,0.0,1.0,1280,0.5275459898758792,8.0,1.7004436231030242
azar,0.0625,43,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.551526717557252,8.0,1280,0.5275459898758792,8.0,1.7004436231030242
azar,0.0625,43,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.5275459898758792,8.0,1.7004436231030242
azar,0.0625,43,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.5275459898758792,8.0,1.7004436231030242
azar,0.0625,44,texto_formacion,directo,0.54375,0.2484375,0.2078125,0.2581453634085213,0.0,1.0,1920,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_formacion,encadenado,0.7578125,0.0,0.2421875,0.0,0.5916666666666666,nan,1920,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_formacion,agregado,0.9270833333333334,0.0,0.07291666666666667,0.0,6.875,nan,1920,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_reservado,directo,0.37792397660818716,0.48099415204678364,0.14108187134502925,0.31088082901554404,0.0,1.0,1368,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_reservado,encadenado,0.7690058479532164,0.0,0.2309941520467836,0.0,1.513157894736842,nan,1368,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_reservado,agregado,0.8969298245614035,0.0,0.10307017543859649,0.0,6.875,nan,1368,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,0.6365342331982575,7.875,1.5689178399389592
azar,0.0625,44,imagen_test,directo,0.10390625,0.89609375,0.0,nan,0.0,1.0,1280,0.5230013110463884,8.0,1.7474054477084415
azar,0.0625,44,imagen_test,encadenado,0.81875,0.18125,0.0,nan,3.5019083969465647,8.0,1280,0.5230013110463884,8.0,1.7474054477084415
azar,0.0625,44,imagen_test,agregado,0.81875,0.18125,0.0,nan,7.0,8.0,1280,0.5230013110463884,8.0,1.7474054477084415
azar,0.0625,44,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,0.5230013110463884,8.0,1.7474054477084415
azar,0.125,42,texto_formacion,directo,0.7791666666666667,0.07916666666666666,0.14166666666666666,0.2426470588235294,0.0,1.0,1920,0.39191737647076097,8.0,2.316892501525849
azar,0.125,42,texto_formacion,encadenado,0.8526041666666667,0.0,0.14739583333333334,0.0,0.1015625,nan,1920,0.39191737647076097,8.0,2.316892501525849
